Name,Ticker,Industry,PEG_ratio,Market Cap,beta,Growth,Holders,recomendation
3M Company,MMM,Industrials,2.09,74051649536,0.945083,-0.002,0.67724997,hold
A.O. Smith Corporation,AOS,Industrials,,8837796864,1.139208,0.271,0.98113,hold
"ABIOMED, Inc.","ABIOMED, Inc.",Healthcare,14.83,12238209024,1.321839,0.119,0.94427,buy
AFLAC Incorporated,AFL,Financial Services,3.31,34984603648,0.956577,-0.102,0.60635,hold
"AMETEK, Inc.",AME,Industrials,-16.82,25792647168,1.260962,0.2,0.89519995,buy
"ANSYS, Inc.",ANSS,Technology,2.61,20946343936,1.265219,0.17,0.95398,hold
APA Corporation,APA,Energy,0.11,10820041728,4.068539,0.405,0.86212,buy
AT&T Inc.,T,Communication Services,-1.98,1.47E+11,0.646568,-0.133,0.54799,hold
AbbVie Inc.,ABBV,Healthcare,35.87,2.71E+11,0.748829,0.041,0.71018,buy
Abbott Laboratories,ABT,Healthcare,1.72,1.91E+11,0.738612,0.138,0.75495005,buy
Accenture plc,ACN,Technology,1.82,1.72E+11,1.220519,0.218,0.77611,none
"Activision Blizzard, Inc",ATVI,Communication Services,2.62,60278222848,0.545588,-0.223,0.84083,buy
Adobe Inc.,ADBE,Technology,1.94,1.78E+11,1.108131,0.144,0.85005,buy
Advance Auto Parts Inc.,AAP,Consumer Cyclical,1.21,11443337216,1.214559,0.013,1.0505201,buy
"Advanced Micro Devices, Inc.",AMD,Technology,0.64,1.31E+11,1.940825,0.709,0.68364,buy
"Agilent Technologies, Inc.",A,Healthcare,1.65,35495473152,1.044699,0.054,0.94374,none
"Air Products and Chemicals, Inc",APD,Basic Materials,1.78,49943277568,0.841634,0.177,0.84033996,buy
"Akamai Technologies, Inc.",AKAM,Technology,1.51,14172564480,0.647083,0.072,0.97535,buy
"Alaska Air Group, Inc.",ALK,Industrials,-0.48,5208860672,1.469135,1.109,0.78175,buy
Albemarle Corporation,ALB,Basic Materials,0.21,23504578560,1.575138,0.36,0.84190005,buy
Alexandria Real Estate Equities,ARE,Real Estate,-10.62,23309162496,0.893146,0.273,1.01945,buy
"Align Technology, Inc.",ALGN,Healthcare,0.58,20085946368,1.768412,0.088,0.88677,buy
Allegion plc,ALLE,Industrials,1.78,8517953024,1.054065,0.042,0.95888,hold
Alliant Energy Corporation,LNT,Utilities,,14587341824,0.466581,0.185,0.77502,buy
Allstate Corporation (The),ALL,Financial Services,2.69,33657921536,0.816943,-0.009,0.78178,buy
Alphabet Inc.,GOOGL,Communication Services,1.19,1.50E+12,1.060784,0.23,0.6607,strong_buy
Alphabet Inc.,GOOGL,Communication Services,1.19,1.48E+12,1.060784,0.23,0.79853994,buy
"Altria Group, Inc.",MO,Consumer Defensive,1.95,77135208448,0.612254,-0.013,0.60029,hold
"Amazon.com, Inc.",AMZN,Consumer Cyclical,3.9,1.16E+12,1.246487,0.073,0.60703,buy
Amcor plc,AMCR,Consumer Cyclical,2.46,18754570240,0.330138,0.156,0.44075,hold
Ameren Corporation,AEE,Utilities,,22659420160,0.367816,0.203,0.80867994,buy
"American Airlines Group, Inc.",AAL,Industrials,0.13,9398481920,1.548318,1.22,0.56028,hold
American Electric Power Company,AEP,Utilities,3.04,48899661824,0.357173,0.073,0.74854,buy
American Express Company,AXP,Financial Services,1.12,1.10E+11,1.094607,0.208,0.87077004,buy
"American International Group, I",AIG,Financial Services,0.84,39672975360,1.263516,0.093,0.93544,buy
American Tower Corporation (REI,AMT,Real Estate,4.29,1.20E+11,0.458918,0.232,0.91516995,buy
"American Water Works Company, I",AWK,Utilities,3.95,26971101184,0.411274,-0.052,0.87308,hold
"Ameriprise Financial, Inc.",AMP,Financial Services,0.98,25314189312,1.506598,0.09,0.85042,buy
AmerisourceBergen Corporation,ABC,Healthcare,1.29,29789970432,0.487441,0.174,0.67766,buy
Amgen Inc.,AMGN,Healthcare,1.98,1.33E+11,0.581524,0.057,0.81214,hold
Amphenol Corporation,APH,Technology,2.36,39482765312,1.210302,0.242,0.97097,buy
"Analog Devices, Inc.",ADI,Technology,0.89,82113757184,1.093231,0.789,0.88094,buy
Aon plc,AON,Financial Services,,57683496960,0.902511,0.041,0.90932,hold
Apple Inc.,AAPL,Technology,2.45,2.43E+12,1.19455,0.086,0.59736997,buy
"Applied Materials, Inc.",AMAT,Technology,0.89,82183897088,1.503192,0.119,0.80501,buy
Aptiv PLC,APTV,Consumer Cyclical,0.46,24782059520,1.999574,0.039,0.98379,buy
Archer-Daniels-Midland Company,ADM,Consumer Defensive,1.54,40514973696,0.814814,0.252,0.81474,buy
"Arista Networks, Inc.",ANET,Technology,1.44,31243190272,1.281396,0.314,0.66764,buy
Arthur J. Gallagher & Co.,AJG,Financial Services,2.16,34818772992,0.671775,0.13,0.85425,buy
"Assurant, Inc.",AIZ,Financial Services,0.76,9025721344,0.550021,0.021,1.043,buy
Atmos Energy Corporation,ATO,Utilities,2.61,14849689600,0.469607,0.107,0.87554,buy
"AutoZone, Inc.",AZO,Consumer Cyclical,1.23,45705814016,0.920588,0.158,0.95098,buy
"Autodesk, Inc.",ADSK,Technology,1.1,38285500416,1.460621,0.183,0.93075997,buy
"Automatic Data Processing, Inc.",ADP,Industrials,2.15,89452167168,0.823329,0.1,0.8134,hold
"AvalonBay Communities, Inc.",AVB,Real Estate,18.86,26940665856,0.935784,0.114,0.91919,hold
Avery Dennison Corporation,AVY,Industrials,2.54,13827692544,1.02745,0.145,0.94208,buy
Baker Hughes Company,BKR,Energy,0.54,23210745856,1.492156,0.011,0.88628,buy
Ball Corporation,BALL,Consumer Cyclical,1.44,21259573248,0.551298,0.189,0.91295,buy
Bank of America Corporation,BAC,Financial Services,0.68,2.64E+11,1.389215,-0.06,0.72128,buy
"Bath & Body Works, Inc.",BBWI,Consumer Cyclical,0.46,6292527616,1.709237,-0.014,1.03941,none
Baxter International Inc.,BAX,Healthcare,1.09,32684068864,0.683695,0.258,0.89189005,buy
"Becton, Dickinson and Company",BD,Healthcare,6.94,68193689600,0.65245,-0.06,0.87831,buy
Berkshire Hathaway Inc. New,BRK-B,Financial Services,1.03,6.24E+11,0.857843,0.115,0.67758006,hold
"Best Buy Co., Inc.",BBY,Consumer Cyclical,1.25,16317925376,1.487441,-0.085,0.83345,hold
"Bio-Rad Laboratories, Inc.",BIO,Healthcare,1.86,14774760448,0.908823,-0.037,0.74934,strong_buy
Bio-Techne Corp,TECH,Healthcare,2.85,13531336704,1.210294,0.201,0.96932,buy
Biogen Inc.,BIIB,Healthcare,-1.4,31877246976,0.439705,-0.042,0.85542,buy
"BlackRock, Inc.",BLK,Financial Services,2.08,91206402048,1.232352,0.068,0.81347,buy
Boeing Company (The),BA,Industrials,-5.04,87408304128,1.367816,-0.081,0.5541,none
Booking Holdings Inc. Common St,BKNG,Consumer Cyclical,0.4,69743763456,1.220098,1.408,0.94021004,buy
BorgWarner Inc.,BWA,Consumer Cyclical,0.48,8068294656,1.416666,-0.069,0.96376,buy
"Boston Properties, Inc.",BXP,Real Estate,5.1,13650930688,1.108333,0.118,1.02918,buy
Boston Scientific Corporation,BSX,Healthcare,2.04,53508370432,0.830882,0.1,0.92803,buy
Bristol-Myers Squibb Company,Null,Healthcare,2.28,1.68E+11,0.535784,0.052,0.78186,buy
Broadcom Inc.,AVGO,Technology,1.09,2.04E+11,1.02696,0.158,0.84027,buy
"Broadridge Financial Solutions,",BR,Technology,1.81,17407428608,0.962254,0.194,0.90637,hold
"Brown & Brown, Inc.",BRO,Financial Services,1.82,16750746624,0.741176,0.11,0.75621,hold
Brown Forman Inc,Null,Consumer Defensive,5.47,33333747712,0.80196,0.138,0.49543998,hold
"C.H. Robinson Worldwide, Inc.",CHRW,Industrials,2.02,12801120256,0.777941,0.419,0.94488996,buy
CBRE Group Inc,CBRE,Real Estate,1.15,26090559488,1.375,0.237,0.98982,buy
CDW Corporation,CDW,Technology,1.31,21920622592,1.109803,0.117,0.96851,buy
"CF Industries Holdings, Inc.",CF,Basic Materials,0.08,18133862400,1.027941,1.305,0.94155,buy
CME Group Inc.,CME,Financial Services,3.3,72577040384,0.434803,0.077,0.87961,hold
CMS Energy Corporation,CMS,Utilities,2.81,19177940992,0.257843,0.177,0.94187,hold
CSX Corporation,CSX,Industrials,1.29,64010899456,1.22745,0.213,0.77135,buy
CVS Health Corporation,CVS,Healthcare,2.05,1.26E+11,0.786764,,0.79745,buy
"Cadence Design Systems, Inc.",CDNS,Technology,2.02,43511136256,1.127941,0.225,0.88054,buy
"Caesars Entertainment, Inc.",CZR,Consumer Cyclical,-0.61,8048591360,2.860294,0.635,0.94693,buy
Camden Property Trust,CPT,Real Estate,2.71,13498179584,0.787745,0.173,0.99285007,buy
Campbell Soup Company,CPB,Consumer Defensive,21.42,14703691776,0.472549,-0.031,0.53688,hold
Capital One Financial Corporati,COF,Financial Services,-0.84,46031020032,1.510294,-0.055,0.93272,buy
CarMax Inc,KMX,Consumer Cyclical,0.95,14819382272,1.45147,0.47,1.0343,buy
"Cardinal Health, Inc.",CAH,Healthcare,2.89,15557515264,0.921078,0.094,0.90212,hold
Carnival Corporation,CCL,Consumer Cyclical,-0.99,10701677568,2.07598,61.423,0.5382,none
Carrier Global Corporation,CARR,Industrials,1.43,31197061120,0.885856,-0.01,0.89408,buy
"Catalent, Inc.",CTLT,Healthcare,1.6,17661466624,1.382843,0.336,1.01457,buy
"Caterpillar, Inc.",Null,Industrials,0.67,93788528640,,0.143,0.7053,buy
"Cboe Global Markets, Inc.",CBOE,Financial Services,3.77,12688384000,0.659803,-0.036,0.82892996,buy
Celanese Corporation Celanese C,CE,Basic Materials,-2.43,11838631936,1.291666,0.412,0.94889,buy
Centene Corporation,CNC,Healthcare,1.37,52316880896,0.513235,0.215,0.95821,buy
"CenterPoint Energy, Inc (Holdin",CNP,Utilities,-28.09,18620721152,0.946568,0.127,0.92292,buy
Ceridian HCM Holding Inc.,CDAY,Technology,7.46,7528717824,1.459316,0.266,1.04187,none
Charles River Laboratories Inte,CRL,Healthcare,1.33,11089552384,1.228431,0.144,0.94755,buy
Charles Schwab Corporation (The,SCHW,Financial Services,0.74,1.18E+11,0.998039,-0.009,0.73807997,buy
"Charter Communications, Inc.",CHTR,Communication Services,0.49,85450096640,0.935294,0.054,0.64005995,buy
Chevron Corporation,CVX,Energy,0.32,2.70E+11,1.132822,0.683,0.71863997,buy
